id,page,bbox,text length,text
226,page 7 of ../pdf/orsted sustainability report.pdf,"(210.70899963378906, 104.37419128417969, 369.3713684082031, 150.8861846923828)",20,"targets. Finally, our Board of Directors will  approve the key sustainability themes  identified and the programmes selected  to address them.  "
227,page 7 of ../pdf/orsted sustainability report.pdf,"(210.70860290527344, 163.90252685546875, 367.4510803222656, 462.8861389160156)",140,"Developing and updating  sustainability programmes We develop sustainability programmes  for the sustainability themes that are  most important to both our stakehold- ers and our business strategy. Currently,  we have a portfolio of 20 programmes.  Based on the outcome of our sustaina- bility themes analysis, we either up- date existing programmes or develop  new ones. Our programmatic work on  sustainability themes allows us to firmly  integrate our response to them in our  daily business processes. In practice, this  means developing concrete targets and  understanding the actions necessary to  reach them as well as assigning clear  responsibility for the execution of each  programme. Developing new sustaina- bility programmes is a comprehensive  process, and you can dive into the details  of how we develop them in the following  section. You can also find an overview  of our 20 sustainability programmes on  page 16. "
228,page 7 of ../pdf/orsted sustainability report.pdf,"(39.684600830078125, 620.3741455078125, 190.74700927734375, 666.8861083984375)",23,"Establishing a new sustainability pro- gramme requires dedicated and sus- tained effort. To build a full programme,  we typically go through five phases.  "
229,page 7 of ../pdf/orsted sustainability report.pdf,"(39.684600830078125, 680.3741455078125, 195.1558380126953, 798.8861083984375)",67,"If we identify the need for a new pro- gramme, we spend some time anchoring  a programme project internally in the  business. In phase 1, we often set up  a small project team to develop the  programme. This team typically works  part-time on the project and takes on  the programme development as part of  its responsibilities. We then dive into the  substance of the sustainability theme in  "
230,page 7 of ../pdf/orsted sustainability report.pdf,"(39.685001373291016, 501.1156311035156, 485.4322509765625, 533.7796630859375)",3,Developing sustainability programmes 
231,page 7 of ../pdf/orsted sustainability report.pdf,"(39.685001373291016, 546.3300170898438, 408.65582275390625, 590.7919921875)",24,"Every year, we update our portfolio of sustainability programmes.   We have honed a systematic process for developing new sustainability  programmes and updating existing ones.  "
232,page 7 of ../pdf/orsted sustainability report.pdf,"(210.70858764648438, 620.374267578125, 368.2030029296875, 798.88623046875)",103,"phases 2, 3, and 4, before moving into ex- ecution in phase 5. As we develop the full  programme over time, we often launch a  minimum viable project to test and refine  essential programme components. You  can read an example of how this works  in practice in the section on our supply  chain decarbonisation programme on  pages 20-21. The key to success is to get  sufficiently deep into the substance of  the issue and not jump to conclusions  too early in the process. In practice, the  phases often overlap, and we move back  and forth between them to adjust and  test our findings. "
233,page 7 of ../pdf/orsted sustainability report.pdf,"(381.7322998046875, 619.9026489257812, 543.4346923828125, 798.88623046875)",90,"Updating existing programmes The sustainability landscape is dynamic,  and themes constantly evolve as the  importance of specific challenges increase  and knowledge around each theme  improves. We continuously update our ex- isting programmes to reflect such changes.  When doing so, we use a light version of  the full programme development process.  If needed, we refresh our understanding of  the strategic landscape, for instance in re- lation to international frameworks, investor  expectations, or best practice. Based on  this, we identify gaps in the current pro- gramme design and ways to close them.  "
234,page 7 of ../pdf/orsted sustainability report.pdf,"(381.7322998046875, 103.90252685546875, 540.4043579101562, 246.88612365722656)",78,"Realising and reporting on progress Reporting on the progress of each pro- gramme and the challenges we face is  key to ensuring transparency, giving our  stakeholders an opportunity to hold us ac- countable and scrutinise our sustainability  performance. Reporting also serves as the  basis for continued dialogue on the sus- tainability themes that are material to our  business. We strive to make our reporting  as practical as possible in the hope that it  inspires action beyond our company.  "
235,page 7 of ../pdf/orsted sustainability report.pdf,"(381.7322998046875, 260.3741149902344, 535.7627563476562, 462.8861389160156)",95,"Reporting on our sustainability perfor- mance is of great interest and impor- tance to our stakeholders, not least  our investors. Each quarter, as part of  our quarterly financial reporting, we  publish a comprehensive ESG perfor- mance report with detailed updates on  our performance across programmes  and other sustainability performance  indicators. Once a year, we publish our  sustainability report where we address  the broader sustainability agenda we  work on and present the challenges and  opportunities we see on the horizon. It  also provides an overview of our sustain- ability performance for the year across  our programmes. "
236,page 7 of ../pdf/orsted sustainability report.pdf,"(679.3267211914062, 140.83351135253906, 1124.6168212890625, 164.44351196289062)",10,Anchor  project Understand  context Identify  options Select  options Realise  options 
237,page 7 of ../pdf/orsted sustainability report.pdf,"(706.936767578125, 697.353515625, 811.02587890625, 734.4935302734375)",8,Understanding of the  key challenges within  the theme 
238,page 7 of ../pdf/orsted sustainability report.pdf,"(706.966796875, 767.7135009765625, 998.1258544921875, 792.853515625)",8,Continued reporting  on progress Governance structure  and policies 
239,page 7 of ../pdf/orsted sustainability report.pdf,"(900.016845703125, 697.353515625, 1153.27685546875, 722.4935302734375)",7,Concrete actions  towards targets Targets and  indicators 
240,page 7 of ../pdf/orsted sustainability report.pdf,"(1070.226806640625, 767.7135009765625, 1148.016845703125, 792.853515625)",5,Defined desired   impact on SDGs 
241,page 7 of ../pdf/orsted sustainability report.pdf,"(777.417724609375, 649.560302734375, 1026.4754638671875, 665.892333984375)",6,A full sustainability programme consists of: 
242,page 7 of ../pdf/orsted sustainability report.pdf,"(651.968505859375, 100.3255844116211, 1026.5877685546875, 122.1015853881836)",6,How we develop new sustainability programmes 
243,page 7 of ../pdf/orsted sustainability report.pdf,"(651.968505859375, 188.85479736328125, 680.0218505859375, 198.9261932373047)",1,Mindset 
244,page 7 of ../pdf/orsted sustainability report.pdf,"(651.968505859375, 236.8511962890625, 686.6292724609375, 246.92259216308594)",1,Objective 
245,page 7 of ../pdf/orsted sustainability report.pdf,"(651.968505859375, 314.79541015625, 699.9722290039062, 324.8668212890625)",2,Key activities 
246,page 7 of ../pdf/orsted sustainability report.pdf,"(651.968505859375, 533.2803955078125, 719.115966796875, 543.351806640625)",3,Typical time frame 
247,page 7 of ../pdf/orsted sustainability report.pdf,"(888.7611083984375, 638.833984375, 915.1347045898438, 648.9053955078125)",1,Output 
248,page 7 of ../pdf/orsted sustainability report.pdf,"(756.005126953125, 327.8489685058594, 825.0027465820312, 366.07733154296875)",9,"• Understand the  strategic context  within the theme,  including: "
249,page 7 of ../pdf/orsted sustainability report.pdf,"(756.005126953125, 371.52374267578125, 814.2949829101562, 390.7489318847656)",3, –  stakeholder  expectations 
250,page 7 of ../pdf/orsted sustainability report.pdf,"(756.005126953125, 396.1953430175781, 825.409912109375, 424.922119140625)",5, –  regulations and  international  frameworks 
251,page 7 of ../pdf/orsted sustainability report.pdf,"(756.005126953125, 430.3685302734375, 831.8626708984375, 440.0921325683594)",3, –  peer performance 
252,page 7 of ../pdf/orsted sustainability report.pdf,"(756.005126953125, 445.5385437011719, 822.5830078125, 464.76373291015625)",4, –  corporate best  practice 
253,page 7 of ../pdf/orsted sustainability report.pdf,"(756.005126953125, 470.21014404296875, 820.703369140625, 489.4353332519531)",5, –  relation to the  SDGs. 
254,page 7 of ../pdf/orsted sustainability report.pdf,"(860.0343627929688, 327.8637390136719, 941.649169921875, 356.59051513671875)",11,• Explore a diverse set  of options to address  the theme. 
255,page 7 of ../pdf/orsted sustainability report.pdf,"(860.0343627929688, 362.03692626953125, 942.2705688476562, 400.2652893066406)",12,• Understand current  performance within  the business in  relation to the theme. 
256,page 7 of ../pdf/orsted sustainability report.pdf,"(860.0343627929688, 405.7117004394531, 944.245849609375, 443.9400634765625)",11,• Map implications for  short- and long-term  business performance  across options. 
257,page 7 of ../pdf/orsted sustainability report.pdf,"(964.0635375976562, 327.8784484863281, 1035.3701171875, 356.605224609375)",8,• Define the desired  change and its  drivers. 
258,page 7 of ../pdf/orsted sustainability report.pdf,"(964.0635375976562, 362.0516357421875, 1038.0267333984375, 390.7784118652344)",8,• Define programme  targets to meet  desired change. 
259,page 7 of ../pdf/orsted sustainability report.pdf,"(964.0635375976562, 396.2248229980469, 1028.2578125, 424.95159912109375)",7,• Define internal  stakeholders for  driving change. 
260,page 7 of ../pdf/orsted sustainability report.pdf,"(964.0635375976562, 430.39801025390625, 1035.703125, 468.6263732910156)",9,• Identify external  stakeholders to  engage for driving  change. 
261,page 7 of ../pdf/orsted sustainability report.pdf,"(1068.0927734375, 327.8931579589844, 1142.2852783203125, 375.62310791015625)",13,• Launch a minimum  viable project to  test and develop  key programme  components. 
262,page 7 of ../pdf/orsted sustainability report.pdf,"(1068.0927734375, 381.06951904296875, 1137.7269287109375, 419.2978820800781)",8,• Anchor the  programme in  the management  structure. 
263,page 7 of ../pdf/orsted sustainability report.pdf,"(1068.0927734375, 424.7442932128906, 1138.3336181640625, 462.97265625)",9,• Set milestones  and timelines for  implementing the  programme. 
264,page 7 of ../pdf/orsted sustainability report.pdf,"(1068.0927734375, 468.4190673828125, 1136.2314453125, 506.6474304199219)",10,• Work with staff  and stakeholders  to execute the  programme. 
265,page 7 of ../pdf/orsted sustainability report.pdf,"(651.968505859375, 249.919189453125, 733.9826049804688, 288.495361328125)",9,Building the  management  processes to develop a  new programme. 
266,page 7 of ../pdf/orsted sustainability report.pdf,"(651.968505859375, 327.92254638671875, 720.4563598632812, 375.6524963378906)",13,• Set up a small  and dedicated  project team to  drive programme  development. 
267,page 7 of ../pdf/orsted sustainability report.pdf,"(651.968505859375, 381.0989074707031, 733.03564453125, 409.82568359375)",10,• Establish a common  understanding of the  required time frame. 
268,page 7 of ../pdf/orsted sustainability report.pdf,"(651.968505859375, 415.2720947265625, 733.5905151367188, 463.0020446777344)",16,• Empower the project  team to explore  a wide range of  opportunities to  address the theme. 
269,page 7 of ../pdf/orsted sustainability report.pdf,"(651.968505859375, 201.91343688964844, 1108.710205078125, 221.6370391845703)",7,Commitment Comprehensiveness Exploratory Long-term   value creation Persistence 
270,page 7 of ../pdf/orsted sustainability report.pdf,"(756.0039672851562, 249.86065673828125, 832.6085815429688, 288.43682861328125)",12,Understand the  challenges within  the theme and best  practice to address it. 
271,page 7 of ../pdf/orsted sustainability report.pdf,"(860.0331420898438, 249.8680419921875, 940.9520263671875, 278.942626953125)",11,Identify a broad set of  options to address the  sustainability theme. 
272,page 7 of ../pdf/orsted sustainability report.pdf,"(964.0623168945312, 249.8680419921875, 1047.5416259765625, 278.942626953125)",12,Select the best options  for us to work on the  sustainability theme. 
273,page 7 of ../pdf/orsted sustainability report.pdf,"(1068.091552734375, 249.8680419921875, 1139.790283203125, 278.942626953125)",8,Implement the new  programme in our  business operations. 
274,page 7 of ../pdf/orsted sustainability report.pdf,"(676.55908203125, 560.1380004882812, 1129.8858642578125, 569.861572265625)",8,3-6 months  Up to 2 years 6-12 months 
275,page 7 of ../pdf/orsted sustainability report.pdf,"(39.680419921875, 24.286693572998047, 1150.864501953125, 35.1746940612793)",6,Sustainability report 2020   Ørsted 15 14 
276,page 8 of ../pdf/orsted sustainability report.pdf,"(651.968505859375, 174.56201171875, 1109.6129150390625, 229.7020263671875)",48,"Accelerating the global deployment of renewable energy is not without its challenges.   This year, our sustainability themes analysis reflects how a number of fundamental sustainability  challenges are emerging at the intersection of renewable energy, communities, and nature, and  these challenges will pick up speed over the coming decade.  "
277,page 8 of ../pdf/orsted sustainability report.pdf,"(39.75848388671875, 174.56201171875, 519.9432983398438, 257.7020263671875)",85,"At Ørsted, we are deeply committed to advancing the 17 UN Sustainable Development Goals (SDGs),  which define the key sustainability challenges that the world faces towards 2030. The goals are  interconnected and almost all of them are influenced by the climate challenge. We have developed  20 sustainability programmes to systematically address the most important sustainability challenges  affecting our business and stakeholders. As a renewable energy company, we aspire to have a  transformative impact on SDGs 7 and 13, while contributing to several others as well.  "
278,page 8 of ../pdf/orsted sustainability report.pdf,"(39.69439697265625, 94.41593170166016, 1084.1923828125, 159.8059539794922)",15,Key industry challenges to a   sustainable green energy build-out Our 2020 portfolio of   sustainability programmes 
279,page 8 of ../pdf/orsted sustainability report.pdf,"(39.685001373291016, 278.75531005859375, 254.26300048828125, 292.3653259277344)",6,To catalyse the green energy transformation 
280,page 8 of ../pdf/orsted sustainability report.pdf,"(39.685001373291016, 311.635986328125, 446.7419128417969, 321.1629943847656)",8,Sustainability challenge  Programme Our impact on the SDGs 
281,page 8 of ../pdf/orsted sustainability report.pdf,"(39.68499755859375, 330.03900146484375, 95.05500793457031, 348.239013671875)",4,Climate action Energy efficiency 
282,page 8 of ../pdf/orsted sustainability report.pdf,"(182.8345947265625, 329.8724060058594, 331.85955810546875, 350.0774230957031)",7,1.  Decarbonisation of energy generation  and operations 
283,page 8 of ../pdf/orsted sustainability report.pdf,"(39.6826171875, 331.4582214355469, 534.4635620117188, 377.4159240722656)",39,"As a world-leading renewable energy company,  our main contributions are to SDGs 7 and 13 where  we aspire to have a transformative impact. Climate action 2.  Decarbonisation of our supply chain and  wholesale buying and selling of natural gas "
284,page 8 of ../pdf/orsted sustainability report.pdf,"(39.685001373291016, 384.5494079589844, 298.2670593261719, 394.7569274902344)",7,Climate action 3.  Deployment of offshore wind 
285,page 8 of ../pdf/orsted sustainability report.pdf,"(182.8345947265625, 396.5494079589844, 321.06634521484375, 406.7569274902344)",5,4.  Deployment of onshore renewables 
286,page 8 of ../pdf/orsted sustainability report.pdf,"(182.8345947265625, 408.5494079589844, 342.6971435546875, 418.7569274902344)",7,5.  Greener combined heat and power plants 
287,page 8 of ../pdf/orsted sustainability report.pdf,"(39.685001373291016, 425.8879089355469, 337.3188171386719, 436.0954284667969)",9,Reliable energy systems 6.  Green energy utilisation and integration 
288,page 8 of ../pdf/orsted sustainability report.pdf,"(39.685001373291016, 443.2264099121094, 250.1020965576172, 453.4339294433594)",5,Sustainable finance 7.  Financing green 
289,page 8 of ../pdf/orsted sustainability report.pdf,"(39.685001373291016, 465.2853088378906, 390.4209899902344, 478.89532470703125)",10,To address the sustainability impacts of the green energy transformation 
290,page 8 of ../pdf/orsted sustainability report.pdf,"(39.685001373291016, 490.8905944824219, 533.27978515625, 528.6805419921875)",35,"Biomass sustainability 8.  Sourcing certified sustainable biomass While contributing to a greener world, we advance  the positive ripple effects of the green energy  transition and manage any negative effects on  local communities and the environment. "
291,page 8 of ../pdf/orsted sustainability report.pdf,"(39.6826171875, 508.40155029296875, 151.8366241455078, 544.6055908203125)",15,Biodiversity impacts and changes   to ecosystems Use of the sea and land for green  energy 
292,page 8 of ../pdf/orsted sustainability report.pdf,"(182.8345947265625, 508.2290954589844, 261.62957763671875, 518.4365844726562)",3,9.  Marine biodiversity 
293,page 8 of ../pdf/orsted sustainability report.pdf,"(39.685001373291016, 552.1676025390625, 266.98382568359375, 562.3750610351562)",6,Local community impacts 10.  Local communities  
294,page 8 of ../pdf/orsted sustainability report.pdf,"(39.685001373291016, 569.506103515625, 281.32464599609375, 579.7135620117188)",8,Reuse and recycling of materials 11.  Resource management 
295,page 8 of ../pdf/orsted sustainability report.pdf,"(39.685001373291016, 625.2005004882812, 231.04196166992188, 638.8104858398438)",5,To ensure responsible business practices 
296,page 8 of ../pdf/orsted sustainability report.pdf,"(39.685001373291016, 650.8058471679688, 261.08209228515625, 661.0133056640625)",7,"Safety, health, and well-being 12.  Workplace safety "
297,page 8 of ../pdf/orsted sustainability report.pdf,"(182.8345947265625, 662.8058471679688, 314.2196044921875, 673.0133056640625)",5,13.  Employee health and well-being 
298,page 8 of ../pdf/orsted sustainability report.pdf,"(39.6826171875, 652.3916015625, 517.8868408203125, 690.351806640625)",23,"We conduct our business with responsibility,  accountability, and respect for our employees,  business partners, and suppliers. Employee attraction and development 14.  Employee development "
299,page 8 of ../pdf/orsted sustainability report.pdf,"(182.8345947265625, 692.1443481445312, 277.44708251953125, 702.351806640625)",3,15.  Employee satisfaction 
300,page 8 of ../pdf/orsted sustainability report.pdf,"(39.685001373291016, 709.4827270507812, 271.4770812988281, 719.690185546875)",8,Diversity and equal opportunity 16. Inclusion of diversity 
301,page 8 of ../pdf/orsted sustainability report.pdf,"(39.685001373291016, 726.8212280273438, 280.4613342285156, 737.0286865234375)",8,Business ethics and transparency 17.  Good business conduct 
302,page 8 of ../pdf/orsted sustainability report.pdf,"(39.685001373291016, 744.3282470703125, 151.740966796875, 762.5281982421875)",7,Business partner and human rights due diligence 
303,page 8 of ../pdf/orsted sustainability report.pdf,"(182.8345947265625, 744.1597290039062, 331.70135498046875, 764.3646850585938)",8,18.  Human rights & responsible business   partners programme 
304,page 8 of ../pdf/orsted sustainability report.pdf,"(39.685001373291016, 771.4982299804688, 308.766357421875, 781.7056884765625)",9,Information security and cyberattacks 19.  Information and cyber security 
305,page 8 of ../pdf/orsted sustainability report.pdf,"(39.685001373291016, 788.8367309570312, 289.07891845703125, 799.044189453125)",6,Responsible tax 20.  Responsible tax practices 
306,page 8 of ../pdf/orsted sustainability report.pdf,"(651.968505859375, 308.3741149902344, 810.1749267578125, 486.8861389160156)",90,"To ensure a sustainable transition to  green energy, it is decisive to manage the  impacts that the green energy build-out  potentially have on the environment  or society. In our annual sustainability  themes analysis, we have identified three  key challenges that are especially impor- tant to our stakeholders and business: •  Decarbonising supply chains. As the re- newable energy industry seeks to scale  up the green energy build-out, the  absolute carbon emissions from renew- able energy supply chains will increase.  Decarbonising these supply chains is  essential for realising a net-zero world. "
307,page 8 of ../pdf/orsted sustainability report.pdf,"(651.968505859375, 500.318115234375, 808.295654296875, 618.8861083984375)",58,"•  Improving biodiversity protection. Con- structing renewable energy at sea and  on land inevitably impacts local habi- tats and ecosystems. As we accelerate  the build-out of green energy, we will  work with a greater number of as well  as more diverse ecosystems, which  is why we need a stronger and more  programmatic approach to manage  our biodiversity impacts. "
308,page 8 of ../pdf/orsted sustainability report.pdf,"(651.968505859375, 632.318115234375, 808.8164672851562, 762.8861083984375)",65,"•  Creating shared value with local com- munities. While renewable energy pro- jects offer local communities significant  economic opportunities, they also bring  change that can cause concern among  our local stakeholders. To expand green  energy in a way that enhances shared  local benefits, we need to work with an  increasingly large set of local stake- holders across more geographies as we  globalise as a company "
309,page 8 of ../pdf/orsted sustainability report.pdf,"(651.968505859375, 776.3741455078125, 809.2386474609375, 798.8861083984375)",13,Head to pages 20-25 to read more about  how we address these challenges.  
310,page 8 of ../pdf/orsted sustainability report.pdf,"(822.9924926757812, 308.3741149902344, 980.8709106445312, 510.8861389160156)",96,"In addition, the energy industry must  address several other sustainability  challenges in the years ahead to ensure  a sustainable transition to renewable  energy: •  Offsetting residual emissions. Our plan  to achieve full carbon neutrality by  2025 will reduce our carbon emissions  by 98 %, but the remaining 2 % may  have to be offset. The market for credi- ble offsetting solutions that guarantee  carbon removal on the scale we need  is already under development. We now  need to establish a mature strategy  to find carbon-removal solutions that  are credible, trustworthy, and clearly  contribute to carbon removal. "
311,page 8 of ../pdf/orsted sustainability report.pdf,"(822.9924926757812, 524.318115234375, 981.4148559570312, 666.8861083984375)",72,"•  Sourcing sustainable biomass. Sustain- able biomass remains the best option  for phasing out coal from existing pow- er plants and delivering significant car- bon reductions. To realise the positive  climate impact of biomass for energy  generation and protect biodiversity, we  must continue to ensure that the bio- mass we use is sustainably produced  and that the quality of documentation  lives up to our expectations, in line with  Danish and EU legislation. "
312,page 8 of ../pdf/orsted sustainability report.pdf,"(822.9924926757812, 680.318115234375, 979.294921875, 786.8861083984375)",53,"•  Managing human rights issues in new  supply chains. As the green energy  build-out and supply chains accelerate  to parts of the world where human  rights risks are more prominent, we  need to strengthen our due diligence  and stakeholder engagement to con- tinue to ensure that human rights are  respected wherever we operate. "
313,page 8 of ../pdf/orsted sustainability report.pdf,"(994.0165405273438, 308.318115234375, 1152.189453125, 426.8861389160156)",61,"•  Enabling inclusion of diversity. Inclusion  of diversity is important in its own right.  As we globalise our company, we want  to build a workforce that reflects the  societies in which we operate. We are  keen to refine how we approach this,  creating a more diverse workforce and  inclusive company culture that reflects  a larger variety of perspectives and  enables globalisation. "
314,page 8 of ../pdf/orsted sustainability report.pdf,"(994.0165405273438, 440.318115234375, 1152.7110595703125, 570.8861083984375)",69,"•  Increasing recyclability from renewable  energy technologies. Wind turbines  currently have a recyclability rate of 85- 90 %. Yet, wind turbine blades continue  to be difficult to recycle. While some  technologies exist, scalable solutions are  not yet available at a competitive price.  In the coming decade, the energy sector  plays an important role to facilitate the  development of the right solutions to re- cover or recycle turbine blade materials. "
315,page 8 of ../pdf/orsted sustainability report.pdf,"(994.0165405273438, 584.318115234375, 1152.135986328125, 750.8861083984375)",80,"•  Sourcing minerals and metals sustain- ably. A green energy transformation  requires significant amounts of mineral  and metals, including copper, rare earth,  iron, cobalt, manganese, and nickel. A  significant share of the global extrac- tion and production of these materials  comes from countries with a higher risk  of negative social, human rights, and  environmental impacts. We need to  work carefully with suppliers to ensure  traceability, due diligence, and miti- gation of risks beyond our immediate  control throughout our supply chains.  "
316,page 8 of ../pdf/orsted sustainability report.pdf,"(994.0165405273438, 764.3741455078125, 1150.32666015625, 798.8861083984375)",17,Head to our programme reporting on  pages 32-43 to read more about how we  approach these challenges.  
317,page 8 of ../pdf/orsted sustainability report.pdf,"(39.680419921875, 24.286693572998047, 1151.3204345703125, 35.1746940612793)",6,Sustainability report 2020   Ørsted 17 16 
318,page 9 of ../pdf/orsted sustainability report.pdf,"(210.70860290527344, 674.7740478515625, 513.464599609375, 745.2860107421875)",67,"Marine mammals live in an underwater world full of noise – both natural and  man-made. Installing wind turbine foundations in the seabed may cause loud  noise in the water that can affect marine mammals. Various technologies exist  to reduce this noise. One of them is the bubble curtain, a long circular tube  releasing a dense curtain of bubbles surrounding the turbine foundation, helping  to protect marine wildlife. "
319,page 9 of ../pdf/orsted sustainability report.pdf,"(651.968505859375, 261.1579284667969, 1032.9276123046875, 340.90985107421875)",41,"In this section, we highlight three challenges which are particularly  important to a sustainable green energy build-out and how we will  address them programmatically: Decarbonising our supply chain,  managing impacts on marine biodiversity, and creating shared  value with our local communities.  "
320,page 9 of ../pdf/orsted sustainability report.pdf,"(650.19677734375, 90.59173583984375, 1104.254638671875, 243.7657012939453)",7,Our response to three  decisive sustainability  challenges 
321,page 9 of ../pdf/orsted sustainability report.pdf,"(39.684722900390625, 24.286693572998047, 1150.86083984375, 35.1746940612793)",6,  Sustainability report 2020 19 Ørsted 18 
322,page 10 of ../pdf/orsted sustainability report.pdf,"(44.54119873046875, 779.476318359375, 366.03411865234375, 798.7015380859375)",11,Operations and  management Decommissioning and  material repurposing Material extraction   and manufacturing 
323,page 10 of ../pdf/orsted sustainability report.pdf,"(66.8550033569336, 552.6376953125, 274.774169921875, 582.1417236328125)",14,Offshore wind supply chain  (scope 3) Ørsted offshore   wind operations  (scopes 1 and 2) 
324,page 10 of ../pdf/orsted sustainability report.pdf,"(300.9830017089844, 552.6297607421875, 356.23095703125, 582.1336669921875)",6,Offshore wind  supply chain  (scope 3) 
325,page 10 of ../pdf/orsted sustainability report.pdf,"(132.3227996826172, 779.476318359375, 183.5382080078125, 798.7015380859375)",3,Transport and  installation 
326,page 10 of ../pdf/orsted sustainability report.pdf,"(148.22720336914062, 709.177001953125, 165.835205078125, 720.0650024414062)",1,2.57 
327,page 10 of ../pdf/orsted sustainability report.pdf,"(69.21920013427734, 685.1530151367188, 86.82719421386719, 696.041015625)",1,5.96 
328,page 10 of ../pdf/orsted sustainability report.pdf,"(69.21920013427734, 638.240966796875, 86.82719421386719, 649.1289672851562)",1,0.66 
329,page 10 of ../pdf/orsted sustainability report.pdf,"(232.55520629882812, 722.6409912109375, 250.1632080078125, 733.5289916992188)",1,0.67 
330,page 10 of ../pdf/orsted sustainability report.pdf,"(315.283203125, 747.3770141601562, 336.08319091796875, 758.2650146484375)",1,-2.82 
331,page 10 of ../pdf/orsted sustainability report.pdf,"(69.21920776367188, 626.2730102539062, 86.82720184326172, 637.1610107421875)",1,6.62 
332,page 10 of ../pdf/orsted sustainability report.pdf,"(39.685001373291016, 198.09799194335938, 470.0589904785156, 277.8498840332031)",58,"While green energy technologies generate power with zero emissions,  emissions from the supply chain still remain. And to realise a world that  stays within the 1.5 °C limit, we need to reduce supply chain emissions. This  will be our next strategic frontier in our decarbonisation journey, and we are  already engaging with our suppliers to find sustainable solutions.  "
333,page 10 of ../pdf/orsted sustainability report.pdf,"(37.91339874267578, 92.50382995605469, 528.1220092773438, 176.78985595703125)",7,Supply chain decarbonisation  programme picks up speed 
334,page 10 of ../pdf/orsted sustainability report.pdf,"(39.68499755859375, 320.3741149902344, 197.0530548095703, 438.8861389160156)",59,"The emissions linked to renewable  energy technologies throughout their  lifetime are approximately 95 % lower  than those related to fossil-based ener- gy generation. Most of the emissions are  released during the early stages of the  renewable energy supply chain, and we  need to reduce them if we are to reach  net-zero emissions across our entire foot- print by 2040.  "
335,page 10 of ../pdf/orsted sustainability report.pdf,"(651.9650268554688, 548.3741455078125, 809.1162719726562, 714.8861083984375)",81,"emissions are particularly hard to abate  as they are linked to heavy manufactur- ing and shipping. Reducing them requires  significant technological innovations to  be available at a cost-competitive level.  Finally, supplier roadmaps for powering  vessels with green energy will need to  be built incrementally since most of the  technologies required are still immature.  Roadmaps will also need to be tailored to  each supplier category as they are all at  different stages of their decarbonisation  journey and face unique complexities and  challenges. "
336,page 10 of ../pdf/orsted sustainability report.pdf,"(651.968505859375, 727.9025268554688, 808.3915405273438, 798.8861083984375)",35,"No low-carbon steel, no carbon- neutral supply chain While our programme, in the beginning,  focuses on direct suppliers (tier 1), we are  aware that more removed suppliers, who  do not directly provide us with equipment  "
337,page 10 of ../pdf/orsted sustainability report.pdf,"(667.7952270507812, 218.6224365234375, 770.4180297851562, 242.05484008789062)",6,Disclose emissions and   set science-based targets 
338,page 10 of ../pdf/orsted sustainability report.pdf,"(667.7952270507812, 250.66143798828125, 786.8602905273438, 298.73919677734375)",18,Improve carbon accounting  practices across the industry and  establish a baseline for tracking  and reporting supply chain  emissions. 
339,page 10 of ../pdf/orsted sustainability report.pdf,"(667.7952270507812, 307.7227478027344, 788.186767578125, 355.45269775390625)",21,• We have established dialogues  on decarbonisation with our top  strategic suppliers in the most  carbon-intensive parts of our  supply chain. 
340,page 10 of ../pdf/orsted sustainability report.pdf,"(667.7952270507812, 363.71710205078125, 789.874267578125, 411.4454650878906)",28,• We have partnered with the Car- bon Disclosure Project (CDP) and  asked suppliers to disclose their  emissions and climate strategy  to the CDP in a uniform way. 
341,page 10 of ../pdf/orsted sustainability report.pdf,"(667.7963256835938, 419.72607421875, 791.5171508789062, 476.9478759765625)",37,"• Of our 28 top strategic suppliers,  26 have successfully reported  data to the CDP, and the remain- ing two have committed to do so  in 2021. Prior to our programme,  only 12 reported to the CDP. "
342,page 10 of ../pdf/orsted sustainability report.pdf,"(820.1810913085938, 218.6224365234375, 931.7152709960938, 266.0656433105469)",15,"Use 100 % green electricity  in the manufacturing of  wind turbines, foundations,  cables, and substations  "
343,page 10 of ../pdf/orsted sustainability report.pdf,"(820.1810913085938, 274.66143798828125, 926.3783569335938, 322.73919677734375)",20,"Though not applicable to all  manufacturing processes, the  use of green electricity is a  readily available solution for  reducing emissions. "
344,page 10 of ../pdf/orsted sustainability report.pdf,"(820.1810913085938, 331.7227783203125, 933.34130859375, 388.9543151855469)",25,"• We have set a firm  expectation for our strategic  suppliers to manufacture their  products using 100 % green  electricity by 2025, at the  latest. "
345,page 10 of ../pdf/orsted sustainability report.pdf,"(665.6693115234375, 121.84603881835938, 869.7269287109375, 137.61404418945312)",6,Key progress across our focus areas  
346,page 10 of ../pdf/orsted sustainability report.pdf,"(822.9921264648438, 548.3741455078125, 981.791259765625, 798.8861083984375)",143,"and services, contribute significantly to  the total emissions across our supply  chain. This is, in particular, the case for the  production of steel used in the founda- tions of our wind turbines, which accounts  for roughly 50 % of the total emissions  in our offshore wind supply chain. Since  these emissions originate among suppliers  which are not among our direct suppliers,  we have met this challenge by forming  wider initiatives with companies from  other sectors that use steel. In 2020, we  joined the Climate Group’s SteelZero initia- tive as founding member. This is a new  global initiative that seeks to drive market  demand for low-carbon and net-zero  emissions steel. With SteelZero, we want  to make it clear to the steel industry that  we are ready to be part of an innovative  and collaborative journey to realise our  shared goal of making carbon-free steel. "
